index,clean_text
143,"me bodru using Lenovo k notes from the august this mobiles performance so good, but it's battery does not perform as another MHz battery mobile so plz check it and try to solve it "
144,"very poor battery, battery drain within hrs it s doesn t show the mAh performance"
145,it is good smooth 
146,"not too good configuration is high, but auto deduced when selling or listing due to auto touch to screen so huge problem is"
147,"purchased on need an average phone at this price segment, though the cameras are supposed to be high performance, but not satisfied battery charged quickly and lasts for a full day only looks wise ok Lenovo again a name you can trust upon but don't buy with too much expectations simply an average smart phone and off course better for rough use "
148,not expected about the k performance is that much I'm really happy about the product in all specifications and the thanks to amazon for giving me good and non damaged product in time 
149,"the best phone in terms of specifications audio sound battery screen camera, ram room along with corn gorilla glass all the best things on a mobile without burning your pocket "
150,"lacks some apps like PC connection, etc. "
151,good phone after update
152,It's good
153,not a good phone in only a month it started hanging  more than GB available memory in the phone camera is not also good now Lenovo has to seriously think about the performance of their mid range phones 
154,"Ye amazon wale both b c hair pin chloride Lenovo k note awesome game ka hangs issue, he b c replaces k lye Bolte hai par behanchod Layla dete hai bhosdi ke pas Jane ke bad service hi no date Inka technician bhosdi ka game khelke Kenya hai Koi problem no hay in behanchod me copy phone bhej Diya much mat kaharidna amazon see hot bhosdi wale hi "
155,Vote calls seem not coming in when the phone is in standby mode 
156,all things are good about this phone smoothly running and no problem till now
157,this phone is good but the camera is not so good as MP overall its good phone heating problem during charging
159,It's an excellent phone but sometimes heating problem may occur overall phone is very good in every condition camera quality processor turbo charging and many more fabulous features 
160,good mobile nice performance
161,really good product 
162,good
163,one of the best mobiles in recent days
164,no record facilities no adequate instructions to use
165,Its can't compete with red me note 
166,excellent product
167,"hello guys I am residual Kaji when announced the killer phone Lenovo k note, I saw the feature decide to buy, but after the days using Lenovo disappointed with me because the is much more heating when playing simple game ex temple run I hate this type of heating problem in my opinion guys do not buy this product west your money I return this product"
168,not a good phone battery life is very poor and this phone has hung issue 
169,nice phone
170,automatic call recorder not available battery backup not good below key light not available heating problem
171,Better mobile good performance thanks to amazon 
172,A phone is just ok not to expect much 
173,Wrist mobile heating too quickly battery charge takes a lot of time in turbo charger not good selfie camera so please don't buy this mobile
174,good handset but accessories is the bad quality charger damaged in the month 
175,battery drains too fast even when kept idle please do not buy until Lenovo do something about this they know this issue and are cheating customers 
176,super
177,nice one 
178,love it 
179,as per the description it is updated with new software unfortunately its the same older one no update already made 
180,Don't buy this product ekdum backwash
181,excellent performance 
182,battery back up is frustrating getting discharged very fast camera is also not as claimed made mistake in buying this phone 
183,battery backup is very poor
184,very nice phone set time charging may led to heating battery was good side buttons was very loose this is a problem deapth sensing mode is so so finger print sensor was very fast front camera was good and back also screen is very good covered with gorilla glass phone is very fast it require St update when you start it overall for my opinion phone was good 
185,works well with long lasting battery and with less heating even with double SIM and mobile data 
186,nice camera clarity with good battery backup screen quality is really a nice useful product highly recommend to all age groups 
187,thank you amazon for delivering in days phone is nice at this price battery is performing good not satisfied in depth camera mode and everything is fantastic in this phone I used me this after days of use this phone is performing well
188,"good product it is fast fast operating system, it doesn't get hang good storages at a time internet and calling is good because of a late network over g overall it is a good product I love it "
189,normal smartphone with a bit of bugs with for the cost 
190,"Very, very poor product"
191,"worst phone several issues no proper response from the Lenovo customer care, why should we roam around service center after giving our k to this idiot seriously don't buy full of crap and traps"
192,lovely
193,"The phone is very good, but I ordered a venom black variant received gold variant its so pathetic I am going to return the phone "
194,very good
195,very good 
196,battery performance and charging time is really bad and worst
197,good phone smoothly works touchscreen
198,great features under k Rs I'm totally satisfied with it
199,amazing performance
200,worth the money amazing service by amazon 
201,worthy purchase using from approx last months handy smooth touch 
202,perfect product happy thanks 
203,The product is worst even amazon and Lenovo is not supported properly if there is an issue
204,"one of the worst phone I purchased phone has some serious usage issues, but technician could not able to crack it amazon is not ready to refund the amount they are cheating please do not buy don't go for amazon too "
205,very bad I got defected piece headphone jack and hotspot not working 
206,poor battery and a lot of heating even for normal usage I ll prefer moto g compare to this 
207,when I double tap on an image that can't zoom why 
208,On this phone don't have a gallery option or menu fix this problem as soon as
209,after using for a month found issues which annoying for me call recorder only records one side voice because of stock android network reception is poor compared other devices not getting proper network for any of the network service provider fluctuating and sometimes goes down to zero I have raised the complaint for any possible solution on Lenovo forum but haven't got anything yet and don't think got anything in future also
210,very poor sound quality 
211,Awesome phone
212,the worst products I have ever bought 
213,"too much heating battery drains up very, very quickly issues with mic most of the time calls inaudible please don't buy it "
214,express delivery
215,"very nice Lenovo k notes no problem when connecting to PC, laptop battery backup is very good both cameras are very good quality "
216,good
217,"nice phone with great features at this price, but the only problem is my phone gets off anytime without any reason complained to amazon for exchange waiting for amazon s response "
218,"very good phone excellent resolution and the camera is superb, but I'm having some battery and heating issues "
219,need an invoice
220,good mobile a reasonable price
221,better choice awesome camera also performance 
222,worse product from Lenovo up to now no proper single network issue is big problem poor signal quality on all operators which effect calls internet speed all 
223,nice mobile
224,so good
225,"most disgusting phone ever heating issues bad camera low battery level battery heats so much that I am afraid that it may burst I am planing to throw this mobile its a threat to life bad service by amazon also earlier those people said phone would be return, according to return policy, but they gave wrong information they are asking me to go to Lenovo customer care and get it verified even if it is faulty even being in returnable period this is really disappointing I strongly recommend people not to buy this garbage from this site "
226,this Lenovo k was fine for two days subsequently it takes more than hrs to charge in spite of rapid charger I have been to their Auth service center in vain as they are not aware of the product solution I had given k for service under warranty it's still lying with them for more than days this became defective for using google navigation got over heated switch off this makes me rethink about Lenovo products through amazon sale
227,good
228,the phone is awesome a must buy product value for money product ignore some small drawbacks 
229,nice
230,Incoming sounds are not working
231,apple the best
232,features not up to the mark
233,never boots up since last night it showing the Lenovo logo powered by android sad product it is really bad experience
234,nice smart phone
235,"Firstly, I ordered it, but got a defective piece and it was like a hell to me again by replacing it, I got a good pecan now it meant all my requirements good speed good camera great speed no hangingloved it"
236,"my invoice, bill is not given I'm in a fix"
237,bhangar phone
238,I bought it before some day and it is a nice phone with some demerits which you must know that according to my views and uses its screen is not actually gorilla glass it is easily brokenable and phone thickness is much more than usual phones 
239,The product is ok its my second mobile in one month but heating problem is main issue to much heat when charging and net using raj Mishra 
240,not bad
241,awesome budget phone competing with my note series 
242,sound is a good turbo charging is just a marketing gimmickcamera is just average Samsung camera quality in the same price range is much better
243,only one speaker given sound quality bad
244,"good phone at this price, but still work on turbo charging it takes nearly hrs to hrs to get fully charged"
245,nice worth money 
246,super
247,there is no super cast feature my old mob Lenovo k note is itself as this feature without casting I don't like this unable to connect to smart tv
248,Now it is getting draining battery very quickly and some apps are crashing I does not like this product try to improve battery performance am requesting Lenovo
249,worst phone ever or the worst android version ever battery drains in hrs from never buy this phone or any phone having android 
251,nice phone best specifications 
252,It's very nice product and I use the phone and I very happy
253,satisfied with the product
254,very good phone in this range 
255,not good as Samsung quality products earphone should be given with the phone 
256,"The phone is good doesn't lag, but battery backup is not up to an expectation level overall a nice phone got off during Diwali plus additional cash back by paying through a debit card"
257,nice phone for the price casting not working even after SW update camera is Avg and slow no headphones in the box 
258,awesome mobile but the battery is too poor
259,good
260,"the phone is wonderful, but the box which reached me did not contain any earphone worst delivery"
261,"the delivery was fast but they didn't given invoice this is bad the mobile is good, battery backup is moderate and volume in headphones is a bit low"
262,flash light not working default write disk not available good build
263,"good phone, but rear camera is not so good and Dolby atoms are not working actually a bug with Lenovo as"
264,best phone off 
265,"mobile is good, but the charger is not the turbo charger"
266,very nice phone no problem yet 
267,nice phone looking smart 
268,excellent
269,affordable
270,very good
271,"looking stylist, but sometimes a network problem found "
272,"a good product by Lenovo and delivery was great by the amazon dual camera may be much better, but its depth enabled mode needs more improvement overall the performance of the phone is good "
273,pros are more here than cons 
274,very bad network connection every day network problem 
275,"draining battery, fast heating when the phone is plugged into charge in off mode network issues in calling using Jio processor performance is also not good "
276,"I bought this phone for my friend, he is pretty happy with the phone all the specs meet his daily basic requirementsbuta highly skinned us makes it little full otherwise a great tech"
277,The battery is poor again disappointed with lenevo can't work whole day with so called me lenevo should work on this and camera part also which is poor
278,empty box product missing
279,excellent 
280,nice phone
281,it doesn't connect to my Samsung level your Bluetooth headset even it just don it finds while searching 
282,"great product no defects worth the price, the delivery guy even opened the void seal in front of me "
283,"I always trusted amazon, but this time they gave me defected piece my phone gets heated overtime and the battery goes down very quickly m so pissed off by this it has been only two days and I am experiencing this"
284,nice phone fast good battery backup and good camera clarity
285,nice phone very nice features I love to use this phone
286,very nice
287,not to mark especially the camera
288,sound quality is not good and also no gallery to store images need to download for play store rest everything is perfect 
289,good phone
290,"over all good phone a little bit of heating while charging, which I think is normal as turbo charge else no heating problem a nice looking device camera quality is not as expected battery backup is good after playing games and spend good online on Airtel g network I charge the battery to in morning time and at the end of the day I am ending up with battery remaining a better product in this price range "
291,nice
292,I found everything what expected except headphone 
293,"the phone is overall good, but there are issues with network connections, especially while using bolt on Jio "
294,Total waste
295,"it was good, but in this heating is a main disadvantage, but everything is good"
296,amazing
297,no contacts in phone everything to be stored to google in bigger font size the display is going out of the screen the signal indicator is never full not a great phone compared to its predecessors
299,this phone is very good I like this phone
301,"it was launched as the next big thing in budget smartphones and claimed to have the best camera in that range phone is ok decent battery life, not the best, but still a decent camera after months of use I found it starts to hang a bit but I guess that's normal with low budget android devices "
302,"not a very great phone it says it has turbo charge, but it takes four hours to reach not worth buying"
303,very bad mobile don t buy it 
304," MAh battery, but doesn't work as low battery backupoverall but for battery "
305,ok
306,Lenovo k note heating over sometimes yes or no 
307,Don't buy this product from amazon when I bought the product it was scratched keep these things it is a radiation phone I can use this phone of mine and feels headache I contacted the amazon many times they will not help you don't buy this phone spending this much money service from amazon is also very poor 
308,"very good battery backup nice camera, Dolby system sound very nice budget phone very good "
309,nice experience battery backup both cameras are very good speed is also nice and its charging is very fast 
310,awesome battery backup awesome camera great audio and video experience totally a killer note till date
311,great phone buy only if you can compromise with the camera cos they are not good at all
312,good
313,camera not good and dual SIM has issues randomly if Jio used calls not receiving at times even though full signal
314,"The battery is very, very poor and the phone is getting hot"
315,"sir iam Akash adagond all is well, but it has caved  screen display so when I attach a tempered glass the air gap present surround the screen plz tell where I purchased a tempered glass sufficient to this mobile or send me that I will pay the bill pls pls pls pls pls"
